"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Routine 2 - Upper (Push)","8 Sep 2026, 20:03","8 Sep 2026, 20:47","","Bench Press (Barbell)",,"",0,"normal",75,6,,,
"Routine 2 - Upper (Push)","8 Sep 2026, 20:03","8 Sep 2026, 20:47","","Bench Press (Barbell)",,"",1,"normal",75,6,,,
"Routine 2 - Upper (Push)","8 Sep 2026, 20:03","8 Sep 2026, 20:47","","Bench Press (Barbell)",,"",2,"normal",75,6,,,
"Routine 2 - Upper (Push)","8 Sep 2026, 20:03","8 Sep 2026, 20:47","","Bench Press (Barbell)",,"",3,"normal",75,6,,,
"Routine 2 - Upper (Push)","8 Sep 2026, 20:03","8 Sep 2026, 20:47","","Incline Bench Press (Dumbbell)",,"",0,"normal",52,8,,,
"Routine 2 - Upper (Push)","8 Sep 2026, 20:03","8 Sep 2026, 20:47","","Incline Bench Press (Dumbbell)",,"",1,"normal",52,8,,,
"Routine 2 - Upper (Push)","8 Sep 2026, 20:03","8 Sep 2026, 20:47","","Incline Bench Press (Dumbbell)",,"",2,"normal",52,8,,,
"Routine 2 - Upper (Push)","8 Sep 2026, 20:03","8 Sep 2026, 20:47","","Overhead Press (Dumbbell)",,"",0,"normal",36,8,,,
"Routine 2 - Upper (Push)","8 Sep 2026, 20:03","8 Sep 2026, 20:47","","Overhead Press (Dumbbell)",,"",1,"normal",36,8,,,
"Routine 2 - Upper (Push)","8 Sep 2026, 20:03","8 Sep 2026, 20:47","","Overhead Press (Dumbbell)",,"",2,"normal",36,8,,,
"Routine 2 - Upper (Push)","8 Sep 2026, 20:03","8 Sep 2026, 20:47","","Lateral Raise (Dumbbell)",,"",0,"normal",10,12,,,
"Routine 2 - Upper (Push)","8 Sep 2026, 20:03","8 Sep 2026, 20:47","","Lateral Raise (Dumbbell)",,"",1,"normal",10,12,,,
"Routine 2 - Upper (Push)","8 Sep 2026, 20:03","8 Sep 2026, 20:47","","Lateral Raise (Dumbbell)",,"",2,"normal",10,12,,,
"Routine 2 - Upper (Push)","8 Sep 2026, 20:03","8 Sep 2026, 20:47","","Lateral Raise (Dumbbell)",,"",3,"normal",10,12,,,
"Routine 4 - Upper (Pull)","7 Sep 2026, 18:55","7 Sep 2026, 19:46","","Lat Pulldown (Machine)",,"",0,"normal",95,8,,,
"Routine 4 - Upper (Pull)","7 Sep 2026, 18:55","7 Sep 2026, 19:46","","Lat Pulldown (Machine)",,"",1,"normal",95,6,,,
"Routine 4 - Upper (Pull)","7 Sep 2026, 18:55","7 Sep 2026, 19:46","","Lat Pulldown (Machine)",,"",2,"normal",95,7,,,
"Routine 4 - Upper (Pull)","7 Sep 2026, 18:55","7 Sep 2026, 19:46","","Lat Pulldown (Machine)",,"",3,"normal",95,6,,,
"Routine 4 - Upper (Pull)","7 Sep 2026, 18:55","7 Sep 2026, 19:46","","Iso-Lateral Row (Machine)",,"",0,"normal",90,6,,,
"Routine 4 - Upper (Pull)","7 Sep 2026, 18:55","7 Sep 2026, 19:46","","Iso-Lateral Row (Machine)",,"",1,"normal",90,6,,,
"Routine 4 - Upper (Pull)","7 Sep 2026, 18:55","7 Sep 2026, 19:46","","Iso-Lateral Row (Machine)",,"",2,"normal",90,6,,,
"Routine 4 - Upper (Pull)","7 Sep 2026, 18:55","7 Sep 2026, 19:46","","Iso-Lateral Row (Machine)",,"",3,"normal",90,6,,,
"Routine 4 - Upper (Pull)","7 Sep 2026, 18:55","7 Sep 2026, 19:46","","Shrug (Dumbbell)",,"",0,"normal",60,12,,,
"Routine 4 - Upper (Pull)","7 Sep 2026, 18:55","7 Sep 2026, 19:46","","Shrug (Dumbbell)",,"",1,"normal",60,12,,,
"Routine 4 - Upper (Pull)","7 Sep 2026, 18:55","7 Sep 2026, 19:46","","Shrug (Dumbbell)",,"",2,"normal",60,12,,,
"Routine 4 - Upper (Pull)","7 Sep 2026, 18:55","7 Sep 2026, 19:46","","Shrug (Dumbbell)",,"",3,"normal",60,12,,,
"Routine 4 - Upper (Pull)","7 Sep 2026, 18:55","7 Sep 2026, 19:46","","Lying Neck Curls (Weighted)",,"",0,"normal",10,8,,,
"Routine 4 - Upper (Pull)","7 Sep 2026, 18:55","7 Sep 2026, 19:46","","Lying Neck Curls (Weighted)",,"",1,"normal",10,8,,,
"Routine 4 - Upper (Pull)","7 Sep 2026, 18:55","7 Sep 2026, 19:46","","Lying Neck Curls (Weighted)",,"",2,"normal",10,8,,,
"Routine 3 - Lower (Squat)","3 Sep 2026, 19:11","3 Sep 2026, 20:09","","Squat (Smith Machine)",,"",0,"normal",75,8,,,
"Routine 3 - Lower (Squat)","3 Sep 2026, 19:11","3 Sep 2026, 20:09","","Squat (Smith Machine)",,"",1,"normal",75,8,,,
"Routine 3 - Lower (Squat)","3 Sep 2026, 19:11","3 Sep 2026, 20:09","","Squat (Smith Machine)",,"",2,"normal",75,8,,,
"Routine 3 - Lower (Squat)","3 Sep 2026, 19:11","3 Sep 2026, 20:09","","Squat (Smith Machine)",,"",3,"normal",75,8,,,
"Routine 3 - Lower (Squat)","3 Sep 2026, 19:11","3 Sep 2026, 20:09","","Bulgarian Split Squat (Dumbbell)",,"",0,"normal",36,8,,,
"Routine 3 - Lower (Squat)","3 Sep 2026, 19:11","3 Sep 2026, 20:09","","Bulgarian Split Squat (Dumbbell)",,"",1,"normal",36,8,,,
"Routine 3 - Lower (Squat)","3 Sep 2026, 19:11","3 Sep 2026, 20:09","","Bulgarian Split Squat (Dumbbell)",,"",2,"normal",36,8,,,
"Routine 3 - Lower (Squat)","3 Sep 2026, 19:11","3 Sep 2026, 20:09","","Bulgarian Split Squat (Dumbbell)",,"",3,"normal",36,8,,,
"Routine 3 - Lower (Squat)","3 Sep 2026, 19:11","3 Sep 2026, 20:09","","Bulgarian Split Squat (Dumbbell)",,"",4,"normal",36,8,,,
"Routine 3 - Lower (Squat)","3 Sep 2026, 19:11","3 Sep 2026, 20:09","","Bulgarian Split Squat (Dumbbell)",,"",5,"normal",36,8,,,
"Routine 3 - Lower (Squat)","3 Sep 2026, 19:11","3 Sep 2026, 20:09","","Leg Extension (Machine)",,"",0,"normal",30,12,,,
